Date,Open,High,Low,Close,Volume,MarketCap
2015-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2015-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2015-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2015-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2015-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
2015-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2015-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2015-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2015-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2015-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2015-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2015-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2015-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2015-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2015-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2015-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2015-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2015-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2015-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,0
2015-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2015-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2015-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2015-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
